Year,Aircraft Deps (000),Aircraft KMs (mils),ASKs (mils),Cargo RTKs (mils),Freight RTKs (mils),Freight Tonnes (mils),Mail RTKs (mils),Pax (mils),PLF,RPKs (mils)
1929,,90,,,,,,,,170
1930,,120,,,,,,,,270
1931,,135,,,,,,,,330
1932,,140,,,,,,,,405
1933,,155,,,,,,,,545
1934,,160,,,,,,,,650
1935,,200,,,,,,,,920
1936,,230,,,,,,,,1225
1937,,265,,,,,,,,1410
1938,,300,,,,,,,,1685
1939,,295,,,,,,,,2030
1940,,300,,,,,,,,2530
1941,,340,,,,,,,,3280
1942,,320,,,,,,,,3580
1943,,325,,,,,,,,4265
1944,,415,,,,,,,,5490
1945,,600,,240,110,,130,9,,8000
1946,,940,,220,120,,100,18,,16000
1947,,1140,,400,270,,130,21,,19000
1948,,1270,,590,420,,170,24,,21000
1949,,1350,,760,570,,190,27,,24000
1950,,1440,46000,930,730,,200,31,0.608695652,28000
1951,,1620,55000,1100,870,,230,42,0.636363636,35000
1952,,1780,64000,1200,940,,260,46,0.625,40000
1953,,1950,75000,1270,990,,280,53,0.626666667,47000
1954,,2060,86000,1370,1040,,330,59,0.604651163,52000
1955,,2290,99000,1610,1240,,370,68,0.616161616,61000
1956,,2540,114000,1800,1400,,400,77,0.622807018,71000
1957,,2840,133000,1960,1530,,430,86,0.616541353,82000
1958,,2930,146000,2040,1570,,470,88,0.582191781,85000
1959,,3090,162000,2350,1830,,520,98,0.604938272,98000
1960,6600,3110,184000,2650,2040,,610,106,0.592391304,109000
1961,6600,3120,212000,3080,2360,,720,111,0.551886792,117000
1962,6600,3240,243000,3580,2770,,810,121,0.534979424,130000
1963,6700,3430,274000,3970,3110,,860,135,0.53649635,147000
1964,7100,3700,306000,4670,3760,,910,155,0.558823529,171000
1965,7500,4100,354000,5900,4800,,1100,177,0.559322034,198000
1966,7800,4480,397000,7230,5700,,1530,200,0.576826196,229000
1967,8600,5280,479000,8420,6530,,1890,233,0.56993737,273000
1968,9074,5993,578885,10503,8153,,2350,260.277,0.534513764,309422
1969,9473,6704,674973,12286,9769,3.97,2517,293.23,0.519871165,350899
1970,9486,7004,839930,15087,12018,6.083,3069,382.954,0.548237353,460481
1971,9546,7054,914070,16125,13225,6.673,2900,410.919,0.540589889,494137
1972,9646,7209,980766,17801,15022,7.284,2779,450.136,0.571061803,560078
1973,9889,7520,1072599,20408,17530,8.223,2878,488.514,0.576342137,618184
1974,9613,7375,1107532,21900,19016,8.651,2884,514.496,0.592692581,656426
1975,9683,7516,1178880,22270,19371,8.68,2899,534.024,0.591480897,697285
1976,9986,7840,1269815,24571,21541,9.336,3030,576.421,0.601475018,763762
1977,10118,8089,1346260,26805,23630,10.046,3175,610.322,0.607832068,818300
1978,10379,8498,1451184,29205,25939,10.625,3266,678.645,0.645233134,936352
1979,10666,9147,1607188,31436,28011,10.996,3425,754.117,0.65968387,1060236
1980,10691,9350,1723903,33057,29376,11.089,3681,748.288,0.631780326,1089128
1981,10250,9113,1756539,34675,30881,10.915,3794,752.271,0.637085769,1119066
1982,10379,9140,1794646,35413,31538,11.568,3875,765.806,0.636444736,1142193
1983,10820,9395,1852088,39112,35109,12.257,4003,797.81,0.642392262,1189767
1984,11453,10102,1972296,43978,39667,13.416,4311,847.931,0.648064996,1278176
1985,11952,10598,2081018,44236,39837,13.742,4399,899.218,0.657056787,1367347
1986,12698,11491,2234730,47735,43190,14.687,4545,960.012,0.649767533,1452055
1987,13306,12266,2367532,53021,48320,16.058,4701,1027.856,0.671360303,1589467
1988,13942,13017,2524094,58099,53265,17.215,4834,1082.474,0.675661049,1705432
1989,13945,13493,2608046,62202,57145,18.088,5057,1109.478,0.680088848,1773703
1990,14661,14371,2800844,64121,58796,18.423,5325,1165.156,0.676312212,1894245
1991,14269,14262,2779494,63630,58556,17.465,5074,1135.185,0.663940271,1845418
1992,14819,15690,2930185,67761,62636,17.647,5125,1145.553,0.658293589,1928922
1993,15777,17118,3013411,73671,68446,18.053,5225,1142.382,0.646915074,1949421
1994,17038,18249,3169342,82626,77215,20.522,5411,1233.341,0.66257791,2099936
1995,17816,19470,3358601,88765,83132,22.189,5633,1303.645,0.669390321,2248215
1996,18758,20601,3563774,94996,89199,23.234,5797,1391.085,0.682337039,2431695
1997,19320,21630,3727900,108870,102880,26.36,5990,1456.69,0.6902036,2573010
1998,19686,22438,3837725,107575,101818,26.496,5757,1471.47,0.684810923,2628116
1999,20739,23742,4050783,114373,108655,28.103,5718,1562.324,0.690682024,2797803
2000,24143.465946258,25981.555983434,4504515.27158603,133572.011601439,127757.685652241,29.622079923,5814.325949198,1774.388417916,0.710701581,3201366.12411332
2001,24233.637621127,26157.107037377,4489444.87146598,124941.687325198,119836.709141802,28.052109687,5104.978183396,1740.675037975,0.692407769,3108526.50651403
2002,23095.220225902,25506.535484532,4379359.48704653,134058.705507334,129663.31929143,30.576799559,4395.386215904,1738.934362937,0.713362113,3124069.1390466
2003,23816.593624857,26559.841808185,4443203.75533752,140372.649676671,136016.82193671,32.625445129,4355.827739961,1794.580262551,0.715767847,3180302.38354944
2004,26780.987436185,30122.495549952,4944362.87006881,154838.346907101,150434.605062001,35.757487862,4403.7418451,2002.751573007,0.73391155,3628725.01962991
2005,28077.205262432,31857.353024203,5229355.27624414,158674.075645018,154195.470188551,36.651425058,4478.605456467,2144.946934691,0.749427571,3919023.0212003
2006,28776.035742669,33179.149195062,5500959.42629592,169365.03407414,164919.668756001,38.976326138,4445.365318139,2263.25010576,0.758150692,4170556.1959147
2007,29869.367300459,34934.659734483,5876065.25247317,177261.473473968,172843.817730774,41.374427069,4417.655743194,2461.986320262,0.768047272,4513095.88653466
2008,29988.856031948,35768.812336525,6062667.1393241,176052.338460738,171158.753375319,39.928453381,4893.585085419,2500.044331773,0.760138426,4608466.25816926
2009,29372.403867587,34893.659618745,5948502.61783718,160439.169902364,155819.084734429,39.977335128,4620.085167935,2488.281562028,0.766817019,4561413.04271906
2010,30754.207128909,38394.979480867,6307072.09694799,193101.243457865,188447.997198123,48.007146382,4653.246259742,2707.866526709,0.781701864,4930250.01571544
2011,31767.566386975,40470.837184599,6747537,195603,190690,49.3,4913,2883,0.780066119,5263525
2012,32192.98684569,41484.586110406,7031359,193799,188701,48.6,5098,3016,0.788622512,5545088
2013,32583.099281708,42771.821187685,7359728,194934,189452,49.7,5482,3151,0.794820542,5849663
2014,33272.692564072,44493.683181101,7776485,204234,198271,51.3,5963,3330,0.797185104,6199298
2015,34193.299481808,46738.799001277,8305406,207243,200816,51.6,6427,3571,0.802386422,6664145
2016,35515.014001,49240.375643156,8914050,214559,208003,53.5,6556,3810,0.802855156,7156691
2017,36543.132058,51832.06833858,9486923,234475,227164,57.3,7311,4079,0.814775349,7729711
2018,37822.685904009,54278.578733847,10147668,241044,233805,59.1,7239,4345,0.817223425,8292912
2019,38299,56199,10530769,235486,228371,58.1,7115,4494,0.823933181,8676650
2020,20290,28013,4579828,195059,190220,48.9,4839,1792,0.652863383,2990002
